x,y
116.234964,39.993358
116.236725,39.993463
116.239296,39.993571
116.241719,39.993641
116.273421,39.970346
116.273369,39.970518
116.207053,39.97766
116.207017,39.97807
116.206997,39.978418
116.206995,39.978455
116.206998,39.978576
116.207045,39.97908
116.207067,39.979446
116.207174,39.980281
116.207221,39.980505
116.207289,39.980722
116.207377,39.980994
116.207398,39.981108
116.207399,39.981198
116.20739,39.981249
116.20736,39.981332
116.20726,39.981544
116.207231,39.98163
116.207202,39.981748
116.207191,39.981811
116.207147,39.982117
116.20711,39.982595
116.207085,39.982835
116.20708,39.982932
116.207072,39.983092
116.207072,39.983222
116.207085,39.983533
116.207097,39.983713
116.207109,39.983805
116.207126,39.983907
116.207132,39.983943
116.207143,39.984006
116.20719,39.984193
116.207277,39.984379
116.207334,39.984497
116.207452,39.984686
116.207511,39.984766
116.207561,39.984831
116.207681,39.984969
116.207779,39.985073
116.207843,39.985138
116.208471,39.985777
116.208841,39.986157
116.208874,39.986192
116.20896,39.986282
116.209833,39.987023
116.210045,39.987222
116.210686,39.987886
116.210839,39.988063
116.210956,39.988236
116.211076,39.988448
116.211143,39.988601
116.211209,39.988813
116.211247,39.989008
116.211261,39.989178
116.211261,39.989278
116.211248,39.989451
116.211214,39.989631
116.211169,39.98979
116.211094,39.989994
116.211034,39.990122
116.210943,39.990345
116.210864,39.99055
116.210815,39.990678
116.210624,39.991244
116.210484,39.991646
116.210205,39.992443
116.210154,39.992591
116.209751,39.993853
116.221679,39.973235
116.220915,39.973236
116.22037,39.973219
116.220046,39.973152
116.221544,39.993014
116.221109,39.993101
116.220968,39.993127
116.220897,39.993153
116.220667,39.993282
116.220651,39.993292
116.220192,39.993524
116.219701,39.993769
116.219549,39.993824
116.219404,39.993859
116.219338,39.993868
116.219268,39.993869
116.219189,39.99387
116.219125,39.993864
116.218837,39.993818
116.218613,39.99377
116.218413,39.993721
116.218274,39.993708
116.217748,39.993721
116.217631,39.993713
116.217476,39.993703
116.217074,39.993704
116.216549,39.993667
116.215915,39.993613
116.215621,39.993594
116.215301,39.993596
116.213576,39.99367
116.211826,39.993759
116.21145,39.993795
116.21057,39.993913
116.209718,39.993988
116.221544,39.993014
116.221498,39.99297
116.221446,39.992916
116.221387,39.992847
116.221328,39.992752
116.221277,39.992642
116.221269,39.992598
116.221265,39.992565
116.221265,39.992522
116.221268,39.992478
116.221272,39.992447
116.221277,39.992413
116.221291,39.992346
116.221326,39.992267
116.221418,39.992127
116.221516,39.992046
116.22161,39.991974
116.221676,39.991933
116.221751,39.991896
116.221845,39.991862
116.22194,39.991832
116.222035,39.991815
116.222128,39.991802
116.222257,39.991798
116.222288,39.991799
116.222384,39.991811
116.222466,39.991835
116.222556,39.991856
116.222631,39.991884
116.222726,39.991926
116.22283,39.99198
116.222882,39.992021
116.222966,39.992101
116.223053,39.9922
116.223096,39.992275
116.223132,39.992356
116.223162,39.992466
116.223134,39.992737
116.223107,39.992786
116.223079,39.99282
116.223038,39.992871
116.222982,39.992936
116.222933,39.992983
116.222878,39.993031
116.222774,39.993112
116.241719,39.993641
116.241985,39.993154
116.243239,39.993294
116.243271,39.993166
116.24327,39.992984
116.243254,39.99266
116.243254,39.992546
116.243282,39.9924
116.243375,39.992022
116.243505,39.991582
116.243574,39.991328
116.243601,39.991156
116.243611,39.990609
116.243721,39.990004
116.243864,39.989242
116.243885,39.989132
116.243892,39.989004
116.243876,39.988819
116.243876,39.988685
116.243903,39.988548
116.243986,39.988309
116.244017,39.988247
116.244064,39.988179
116.244299,39.987976
116.244455,39.987861
116.244563,39.987801
116.244635,39.987777
116.244717,39.987763
116.244725,39.987762
116.244853,39.987763
116.245043,39.987789
116.246003,39.98796
116.24692,39.988157
116.247228,39.988243
116.24792,39.988477
116.248277,39.988586
116.248684,39.988677
116.249088,39.988774
116.249769,39.988991
116.25063,39.98922
116.250759,39.989257
116.292094,39.982039
116.291881,39.982155
116.291824,39.982196
116.291798,39.982224
116.29179,39.982235
116.291774,39.982265
116.291764,39.982297
116.291761,39.982313
116.291751,39.982411
116.291741,39.982817
116.291717,39.983235
116.291717,39.983247
116.29167,39.984171
116.291688,39.984664
116.291697,39.984917
116.291699,39.984974
116.291781,39.986581
116.291802,39.987307
116.29182,39.987524
116.291847,39.987681
116.291917,39.987901
116.29205,39.988243
116.292304,39.988995
116.292615,39.989906
116.29273,39.990219
116.293972,39.990203
116.294325,39.990194
116.294646,39.990186
116.29493,39.990178
116.295358,39.990157
116.295383,39.990156
116.296737,39.99012
116.296799,39.990119
116.297255,39.990107
116.297512,39.9901
116.297929,39.990083
116.299099,39.990057
116.251184,39.98745
116.251451,39.987545
116.251564,39.987577
116.282336,39.974145
116.282096,39.97443
116.282476,39.974638
116.282464,39.974675
116.282449,39.974708
116.282412,39.974752
116.282134,39.975014
116.282041,39.975119
116.281983,39.975213
116.281937,39.975326
116.281929,39.975364
116.281917,39.975422
116.281914,39.975538
116.281971,39.976067
116.28198,39.976226
116.281969,39.976338
116.281943,39.976432
116.281878,39.976572
116.28179,39.976706
116.281527,39.977099
116.281495,39.977146
116.281345,39.977405
116.2811,39.977853
116.281024,39.978002
116.280959,39.978386
116.304606,39.992933
116.304507,39.993554
116.304467,39.993916
116.304455,39.994091
116.304435,39.994372
116.304419,39.994584
116.304372,39.996619
116.304369,39.996761
116.304361,39.997121
116.304353,39.99745
116.304352,39.997496
116.305101,39.99755
116.306629,39.997664
116.306785,39.997685
116.30695,39.997726
116.307094,39.997782
116.307264,39.997874
116.307384,39.997959
116.307616,39.998183
116.308205,39.998777
116.308377,39.998933
116.308527,39.999045
116.308853,39.99926
116.3089,39.999284
116.309149,39.99939
116.309439,39.99949
116.309743,39.999571
116.310047,39.999632
116.310695,39.999733
116.311119,39.999781
116.311877,39.999838
116.31189,39.999839
116.312007,39.999846
116.312318,39.999863
116.313499,39.999879
116.304632,39.991749
116.304702,39.991992
116.304714,39.992092
116.304709,39.992196
116.304624,39.992697
116.304606,39.992933
116.222774,39.993112
116.223205,39.993154
116.223592,39.993195
116.224042,39.993219
116.224211,39.993229
116.224302,39.993219
116.224601,39.993147
116.224836,39.993102
116.225016,39.993084
116.225391,39.99309
116.226004,39.993102
116.226921,39.993133
116.227297,39.99314
116.227772,39.993148
116.227869,39.993153
116.228229,39.993173
116.229416,39.993197
116.229583,39.993198
116.229683,39.993199
116.229814,39.993192
116.230003,39.993182
116.230681,39.993204
116.231415,39.993219
116.232696,39.993273
116.234152,39.993319
116.234731,39.993347
116.234964,39.993358
116.273454,39.970211
116.273465,39.970119
116.273455,39.970046
116.27343,39.970107
116.273411,39.970276
116.273421,39.970346
116.273447,39.970273
116.273454,39.970211
116.239455,39.973231
116.240289,39.97323
116.240858,39.973236
116.241119,39.973165
116.222774,39.993112
116.222715,39.993148
116.222669,39.993169
116.222634,39.99318
116.222563,39.993199
116.222486,39.993213
116.222386,39.993224
116.222292,39.993231
116.222182,39.993229
116.222084,39.993224
116.221966,39.993214
116.221897,39.993197
116.221828,39.993174
116.221753,39.993145
116.221654,39.993096
116.221595,39.993057
116.221544,39.993014
116.282612,39.978331
116.282578,39.978425
116.282567,39.978664
116.282454,39.978709
116.282387,39.978752
116.282339,39.978828
116.28217,39.979401
116.282129,39.979545
116.282036,39.979839
116.281792,39.980269
116.281726,39.980373
116.281709,39.980391
116.281684,39.980407
116.281664,39.980416
116.28164,39.98042
116.28144,39.980409
116.281403,39.98045
116.281368,39.980462
116.281295,39.98046
116.281199,39.980453
116.258397,39.973411
116.25836,39.97341
116.257737,39.973389
116.257653,39.973387
116.257195,39.973376
116.25696,39.973302
116.225042,39.973564
116.224579,39.97323
116.204109,39.973113
116.204265,39.973165
116.204443,39.973186
116.304606,39.992933
116.304661,39.992699
116.304761,39.992095
116.304773,39.991726
116.251184,39.98745
116.251131,39.987372
116.251082,39.987341
116.251013,39.987291
116.250769,39.987081
116.249162,39.98637
116.249128,39.986356
116.247279,39.985574
116.247085,39.985453
116.246979,39.985394
116.246449,39.985197
116.246317,39.985139
116.246173,39.985139
116.245998,39.985139
116.245902,39.985102
116.245639,39.984989
116.245354,39.984822
116.244798,39.98448
116.244665,39.984399
116.244005,39.984095
116.243702,39.983949
116.243329,39.983762
116.242934,39.983587
116.242718,39.983492
116.242503,39.983377
116.241916,39.983075
116.241473,39.982866
116.241055,39.982672
116.24076,39.982522
116.240395,39.982327
116.240069,39.98222
116.23919,39.981808
116.238281,39.981407
116.238169,39.981358
116.237879,39.981206
116.237638,39.981029
116.237058,39.980634
116.23703,39.980624
116.273369,39.970518
116.271232,39.970328
116.270117,39.970307
116.269822,39.97027
116.269492,39.970274
116.269348,39.970247
116.26924,39.970221
116.269114,39.970217
116.268916,39.970247
116.268763,39.970252
116.268642,39.970212
116.268505,39.97018
116.268422,39.97018
116.26832,39.970194
116.268197,39.970235
116.268039,39.970258
116.267813,39.970243
116.267529,39.970204
116.267124,39.970159
116.266936,39.970171
116.266781,39.9702
116.266582,39.970227
116.266381,39.970229
116.266164,39.970237
116.266011,39.970256
116.265871,39.970289
116.265759,39.970344
116.265702,39.970385
116.265595,39.97055
116.26544,39.970743
116.2653,39.970932
116.265091,39.971158
116.264968,39.971273
116.264812,39.971359
116.264656,39.971421
116.264533,39.971479
116.264426,39.971639
116.264136,39.97198
116.263541,39.972687
116.263111,39.973198
116.262452,39.974011
116.262328,39.974233
116.262242,39.974385
116.262103,39.974525
116.260903,39.975941
116.259686,39.977418
116.258841,39.978401
116.25821,39.979137
116.257881,39.979528
116.257224,39.98024
116.256614,39.980926
116.256127,39.981516
116.256038,39.981621
116.255794,39.981913
116.255588,39.982139
116.255526,39.982182
116.255432,39.982212
116.255417,39.982217
116.255193,39.982289
116.228847,39.973434
116.228633,39.973463
116.228327,39.973492
116.227886,39.973526
116.225913,39.97355
116.225047,39.973561
116.225042,39.973564
116.225017,39.973586
116.225017,39.973631
116.225015,39.973763
116.22502,39.973867
116.225035,39.973966
116.249087,39.97324
116.249194,39.973374
116.249363,39.973483
116.249741,39.973499
116.250438,39.973497
116.250729,39.973497
116.25113,39.973497
116.252369,39.973528
116.252753,39.973495
116.252976,39.973401
116.253085,39.973399
116.253229,39.973395
116.253816,39.973399
116.253898,39.973397
116.254001,39.973393
116.254468,39.973481
116.254657,39.973503
116.254993,39.973653
116.255304,39.97367
116.256037,39.973662
116.256149,39.973655
116.241186,39.973229
116.241243,39.973392
116.241382,39.97345
116.241951,39.973577
116.242171,39.973643
116.242423,39.973696
116.242805,39.973672
116.243013,39.973659
116.243238,39.973552
116.243523,39.973474
116.243957,39.973499
116.245535,39.973503
116.261913,39.974001
116.261833,39.973934
116.261744,39.973871
116.261654,39.973815
116.261598,39.973782
116.261418,39.973717
116.261241,39.973715
116.26098,39.973712
116.260595,39.973705
116.260051,39.973718
116.296574,39.984637
116.296469,39.984668
116.296342,39.984677
116.295011,39.984082
116.293853,39.983556
116.293348,39.983219
116.292683,39.982734
116.29249,39.982684
116.292337,39.982586
116.292047,39.982351
116.292031,39.982296
116.292045,39.98224
116.292094,39.982039
116.29182,39.982005
116.291762,39.981992
116.291555,39.981926
116.291356,39.98185
116.291313,39.981832
116.291277,39.981807
116.291229,39.981767
116.291127,39.981664
116.290605,39.981071
116.290044,39.98051
116.289988,39.980438
116.28985,39.9802
