x,y
116.189694,40.092933
116.189778,40.092772
116.18986,40.092653
116.18997,40.092516
116.190236,40.092184
116.19043,40.091916
116.19053,40.09178
116.190588,40.091725
116.190617,40.091707
116.190644,40.091697
116.190683,40.09169
116.190842,40.091692
116.191156,40.091702
116.191183,40.091704
116.191365,40.091714
116.191416,40.091713
116.19147,40.091707
116.191501,40.091699
116.191591,40.091655
116.191675,40.091603
116.191721,40.09156
116.19184,40.091421
116.192029,40.09111
116.192033,40.091095
116.192034,40.091067
116.19202,40.091041
116.191998,40.091018
116.191971,40.091
116.191888,40.090944
116.19187,40.090925
116.191855,40.090899
116.191848,40.090876
116.191848,40.090845
116.191854,40.090823
116.191866,40.090794
116.192156,40.090253
116.192186,40.090174
116.19219,40.090151
116.192191,40.090105
116.192187,40.090077
116.192128,40.089873
116.192113,40.089761
116.192117,40.089511
116.192142,40.089281
116.192174,40.089029
116.192187,40.088981
116.192214,40.088912
116.192238,40.088862
116.192279,40.088797
116.192327,40.088724
116.192571,40.088354
116.192996,40.087718
116.193178,40.087463
116.193271,40.08741
116.193368,40.087399
116.193687,40.087502
116.193724,40.087515
116.193905,40.08755
116.193917,40.087552
116.193971,40.087552
116.194072,40.087511
116.194088,40.087499
116.194145,40.087453
116.194175,40.087436
116.194234,40.087345
116.188881,40.097059
116.188868,40.097787
116.188878,40.097913
116.188903,40.098017
116.188924,40.098067
116.188972,40.098138
116.189035,40.098205
116.189087,40.09825
116.189155,40.098297
116.189312,40.098378
116.189486,40.098464
116.189634,40.098546
116.189799,40.098636
116.189956,40.098758
116.190093,40.098887
116.190203,40.098991
116.190661,40.099461
116.190737,40.099549
116.190784,40.099629
116.190824,40.099731
116.190829,40.099757
116.19084,40.099895
116.190845,40.10003
116.190872,40.10014
116.191073,40.100603
116.191109,40.100684
116.191189,40.100911
116.191281,40.101094
116.191343,40.101186
116.191424,40.101272
116.191635,40.101445
116.191771,40.101581
116.191828,40.101651
116.191957,40.101842
116.192009,40.101906
116.192053,40.101945
116.192137,40.101997
116.192188,40.102017
116.192211,40.102022
116.192247,40.102019
116.192275,40.102005
116.192302,40.101985
116.192327,40.101958
116.192545,40.10164
116.192596,40.10158
116.192625,40.101558
116.192647,40.101546
116.192679,40.101533
116.192715,40.101526
116.192789,40.101519
116.192897,40.101531
116.192995,40.101563
116.193285,40.101689
116.193749,40.10188
116.194174,40.102065
116.194619,40.102277
116.194688,40.102324
116.194729,40.102365
116.194746,40.10239
116.194755,40.102412
116.19476,40.102438
116.194759,40.10246
116.194758,40.102466
116.194737,40.102549
116.194594,40.102953
116.19458,40.103033
116.194581,40.103055
116.194588,40.103086
116.194598,40.103106
116.194617,40.103133
116.194639,40.103152
116.194813,40.103261
116.195315,40.103531
116.195555,40.103685
116.195884,40.103936
116.195942,40.103982
116.19619,40.10419
116.196632,40.104605
116.196732,40.104682
116.196848,40.104746
116.196974,40.104792
116.197113,40.104821
116.197149,40.104826
116.197361,40.104848
116.198017,40.104884
116.198294,40.104919
116.198531,40.104966
116.19878,40.105039
116.199031,40.105112
116.199658,40.10532
116.200123,40.105477
116.189515,40.101128
116.189551,40.10117
116.190578,40.102369
116.190811,40.10258
116.191037,40.102785
116.1913,40.102974
116.191578,40.103123
116.192077,40.103372
116.192974,40.10382
116.193464,40.104068
116.194747,40.104796
116.196031,40.105602
116.196637,40.105931
116.196887,40.106012
116.19725,40.106081
116.19725,40.106081
116.197305,40.106086
116.197531,40.10617
116.197761,40.106195
116.198102,40.106213
116.198108,40.106213
116.198299,40.106226
116.198576,40.106262
116.199143,40.106375
116.199174,40.106382
116.199348,40.106419
116.199842,40.106554
116.200216,40.106646
116.200229,40.106649
116.200241,40.106652
116.200727,40.106769
116.201049,40.106839
116.201243,40.106865
116.201411,40.106893
116.201592,40.106913
116.201753,40.106913
116.201801,40.106912
116.202098,40.10691
116.202126,40.10691
116.203036,40.106836
116.203423,40.106796
116.20362,40.106759
116.203838,40.106697
116.204152,40.106596
116.204501,40.106445
116.204645,40.106365
116.204976,40.106134
116.205435,40.105777
116.205671,40.105571
116.205971,40.105337
116.206364,40.105022
116.206403,40.104529
116.206435,40.104226
116.206457,40.103872
116.206512,40.103605
116.206561,40.10344
116.206608,40.103353
116.206644,40.103309
116.206716,40.10325
116.20674,40.103236
116.206837,40.103207
116.207056,40.103175
116.207315,40.103119
116.207766,40.103001
116.208149,40.102863
116.208359,40.102799
116.208745,40.102722
116.209098,40.102672
116.209704,40.102583
116.209732,40.102582
116.210066,40.102591
116.210286,40.102601
116.210538,40.102616
116.210918,40.102642
116.211535,40.102657
116.211886,40.1027
116.21296,40.102826
116.21304,40.102841
116.189694,40.092933
116.189552,40.093198
116.18943,40.093401
116.189326,40.093553
116.189264,40.093612
116.189174,40.093681
116.189093,40.093734
116.189057,40.093753
116.189034,40.093764
116.188963,40.093783
116.188922,40.093792
116.188754,40.093823
116.188509,40.093858
116.188051,40.093888
116.1878,40.093916
116.187666,40.093945
116.187634,40.093952
116.187397,40.094021
116.187275,40.094073
116.187105,40.094172
116.186956,40.094284
116.186851,40.094385
116.186759,40.094505
116.186705,40.094602
116.18668,40.094676
116.186665,40.094782
116.186661,40.094973
116.186675,40.095162
116.186703,40.095317
116.186742,40.095427
116.186844,40.095626
116.186951,40.095799
116.187027,40.095892
116.187117,40.095976
116.18727,40.09609
116.187383,40.096156
116.187601,40.096253
116.188134,40.096447
116.188387,40.096548
116.188479,40.096596
116.188523,40.096628
116.188581,40.096675
116.188751,40.096847
116.188881,40.097059
116.200123,40.105477
116.200745,40.105687
116.201011,40.105759
116.201244,40.105798
116.201454,40.105811
116.201731,40.105803
116.201939,40.105778
116.202209,40.105725
116.202411,40.105672
116.203098,40.105503
116.203189,40.105467
116.203243,40.105434
116.203269,40.105411
116.203286,40.10539
116.203302,40.105361
116.203309,40.105338
116.203357,40.104917
116.203414,40.104573
116.203475,40.104324
116.203685,40.103616
116.203764,40.103406
116.203859,40.103202
116.203951,40.103057
116.204049,40.102938
116.204174,40.102812
116.204345,40.102674
116.204503,40.10257
116.204675,40.102477
116.204937,40.102347
116.205286,40.102209
116.205539,40.102118
116.20562,40.102089
116.206231,40.101888
116.207816,40.101428
116.208349,40.101271
116.208848,40.101152
116.209257,40.101076
116.209433,40.101058
116.209753,40.101044
116.210463,40.101067
116.211698,40.101107
116.212263,40.101124
116.212792,40.101145
116.212903,40.101141
116.212931,40.101134
116.212964,40.101118
116.213014,40.10108
116.213092,40.101027
116.213188,40.100986
116.21322,40.100975
116.213263,40.100961
116.213389,40.100961
116.213496,40.100981
116.189515,40.101128
116.188684,40.100157
116.187716,40.099027
