x,y
116.618857,39.934059
116.618982,39.934091
116.62278,39.93514
116.622538,39.935071
116.593732,39.939315
116.594059,39.939324
116.594728,39.939296
116.59547,39.939264
116.596437,39.939223
116.597118,39.939199
116.597892,39.939159
116.598115,39.939159
116.598237,39.939169
116.598276,39.939194
116.598298,39.939225
116.598309,39.939292
116.598274,39.939527
116.598258,39.939586
116.598219,39.939632
116.598148,39.939671
116.598058,39.939694
116.597924,39.939704
116.597698,39.939717
116.597303,39.939742
116.596611,39.9398
116.596086,39.939834
116.595419,39.939839
116.59497,39.939844
116.594686,39.939859
116.594346,39.939889
116.594189,39.939917
116.594015,39.939944
116.593847,39.939962
116.593674,39.939959
116.593491,39.939933
116.593354,39.939918
116.593135,39.939849
116.593012,39.939811
116.592941,39.939799
116.592867,39.939808
116.592773,39.939819
116.592656,39.939838
116.592575,39.939842
116.59249,39.939845
116.591604,39.939822
116.591195,39.939812
116.590924,39.939804
116.590862,39.939801
116.590823,39.939786
116.590798,39.939763
116.59079,39.939722
116.590798,39.93966
116.590862,39.939504
116.590922,39.939367
116.590953,39.939312
116.591016,39.939258
116.591079,39.939227
116.591179,39.939209
116.591307,39.939211
116.591688,39.939231
116.592449,39.939259
116.593112,39.939291
116.593572,39.93931
116.593732,39.939315
116.579832,39.932772
116.579545,39.932737
116.57948,39.932746
116.579447,39.932763
116.579214,39.932864
116.579017,39.933
116.578969,39.933021
116.578911,39.933032
116.57869,39.933068
116.578582,39.933091
116.57851,39.933121
116.578391,39.933225
116.578365,39.933263
116.57836,39.933292
116.578332,39.933637
116.578313,39.933695
116.57829,39.933751
116.578092,39.933984
116.578039,39.934009
116.57799,39.934024
116.577919,39.934033
116.577519,39.934011
116.577438,39.934023
116.577386,39.934044
116.577037,39.934323
116.576999,39.934348
116.576954,39.934369
116.576539,39.93454
116.576471,39.934585
116.576426,39.934638
116.576412,39.934694
116.576343,39.934943
116.576294,39.935002
116.576249,39.935046
116.575868,39.935251
116.575814,39.935303
116.575659,39.935525
116.575643,39.935572
116.575643,39.935626
116.575651,39.935691
116.575723,39.935839
116.575957,39.936156
116.575983,39.936236
116.575989,39.936294
116.575986,39.936343
116.575766,39.936711
116.57575,39.936802
116.575753,39.937055
116.575731,39.937127
116.575699,39.937187
116.575661,39.937228
116.575238,39.937534
116.575171,39.937604
116.575144,39.937682
116.575125,39.937855
116.575144,39.937915
116.575286,39.938186
116.575342,39.938235
116.575624,39.938414
116.575707,39.938429
116.575838,39.938425
116.57608,39.938375
116.576198,39.938371
116.57652,39.938375
116.576579,39.938363
116.576627,39.938334
116.576962,39.93817
116.577083,39.938124
116.577126,39.938091
116.577292,39.937828
116.57737,39.937777
116.577467,39.937752
116.577858,39.937719
116.577931,39.937699
116.578185,39.937481
116.57836,39.937419
116.578649,39.937361
116.578759,39.937359
116.578835,39.937372
116.579076,39.937546
116.579154,39.937639
116.579272,39.937875
116.57932,39.937925
116.57939,39.937954
116.579661,39.937989
116.579862,39.937987
116.580066,39.937933
116.58024,39.937849
116.580452,39.937736
116.580508,39.937664
116.580508,39.937583
116.580487,39.937501
116.580471,39.937429
116.58042,39.937203
116.580422,39.937164
116.580449,39.937123
116.580712,39.936913
116.580782,39.936829
116.580793,39.936769
116.580776,39.936615
116.580752,39.936565
116.58042,39.936352
116.580355,39.936317
116.580302,39.93631
116.58021,39.936312
116.580066,39.936348
