x,y
116.602799,39.961544
116.603632,39.958114
116.604268,39.955579
116.604448,39.954905
116.604641,39.954351
116.604695,39.954247
116.604699,39.954241
116.604789,39.954101
116.604956,39.953854
116.605218,39.953466
116.606704,39.951428
116.606849,39.951243
116.607981,39.949727
116.608034,39.949657
116.60811,39.949555
116.608203,39.949426
116.608217,39.949407
116.608966,39.948363
116.609534,39.947564
116.609653,39.947397
116.609884,39.947067
116.610261,39.946522
116.610521,39.946155
116.610718,39.945884
116.610938,39.945573
116.61108,39.945368
116.611145,39.945275
116.611176,39.945231
116.61121,39.945178
116.611387,39.94493
116.611808,39.944323
116.612394,39.943498
116.612694,39.943074
116.613198,39.94236
116.613323,39.942184
116.613414,39.942055
116.615169,39.939576
116.615561,39.939012
116.615701,39.93881
116.615794,39.938662
116.615898,39.938498
116.616186,39.938083
116.617357,39.936309
116.61755,39.936026
116.617569,39.935998
116.617577,39.935986
116.617945,39.935423
116.618134,39.935154
116.61875,39.934222
116.618857,39.934059
116.618973,39.933885
116.620971,39.930887
116.62391,39.926423
116.624064,39.92619
116.62419,39.926083
116.624191,39.92621
116.624024,39.926466
116.623099,39.927886
116.62288,39.928223
116.622218,39.929241
116.621116,39.930932
116.621006,39.931095
116.620754,39.931468
116.61909,39.933931
116.618982,39.934091
116.618866,39.934267
116.617711,39.936026
116.6164,39.938024
116.616236,39.938274
116.61608,39.938502
116.615931,39.938723
116.615824,39.938881
116.615686,39.939073
116.61534,39.939556
116.613518,39.942102
116.613434,39.942219
116.613302,39.942403
116.611913,39.944356
116.611607,39.94479
116.611304,39.945214
116.611266,39.945267
116.611232,39.945315
116.61117,39.945404
116.610375,39.946542
116.60975,39.947436
116.609162,39.948283
116.608325,39.949456
116.608311,39.949475
116.608237,39.949578
116.608151,39.949697
116.608094,39.949776
116.606984,39.951301
116.606853,39.95148
116.606489,39.951969
116.605981,39.952659
116.605373,39.953486
116.605167,39.953778
116.604906,39.954125
116.604858,39.954189
116.604827,39.954267
116.604824,39.954275
116.604787,39.954359
116.60465,39.954759
116.604636,39.954809
116.604414,39.9556
116.603784,39.958129
116.602968,39.961571
116.602897,39.961812
116.602781,39.961953
116.602734,39.961789
116.602799,39.961544
116.595281,39.986548
116.595279,39.986488
116.594597,39.985092
116.593832,39.983563
116.593164,39.982227
116.593108,39.982158
116.602781,39.961953
116.602546,39.962647
116.602001,39.964043
116.601882,39.964326
116.601634,39.964918
116.601603,39.964994
116.601593,39.965019
116.601237,39.965884
116.601182,39.966016
116.601152,39.966109
116.601029,39.966424
116.600443,39.967881
116.600145,39.968597
116.599567,39.970047
116.599476,39.970259
116.599352,39.9705
116.599104,39.970979
116.599011,39.971158
116.59885,39.971436
116.598788,39.971537
116.59848,39.971961
116.598315,39.972168
116.598225,39.972254
116.598216,39.972262
116.598132,39.972325
116.59796,39.972423
116.597782,39.9725
116.597326,39.97266
116.597136,39.972733
116.596995,39.972806
116.596866,39.97289
116.596746,39.972994
116.596711,39.97303
116.596605,39.973161
116.596506,39.973314
116.596498,39.973325
116.596367,39.973527
116.596244,39.973694
116.596094,39.973858
116.596033,39.973922
116.595778,39.974211
116.595646,39.974381
116.595579,39.974497
116.595518,39.974641
116.595476,39.974793
116.595414,39.975201
116.595396,39.97527
116.595387,39.975307
116.595381,39.975331
116.595325,39.97546
116.595136,39.975787
116.594855,39.976182
116.594756,39.97633
116.594522,39.976658
116.594242,39.977063
116.594139,39.977212
116.593663,39.977902
116.593612,39.977976
116.593564,39.978046
116.593365,39.978333
116.59322,39.978572
116.593148,39.978693
116.593013,39.978917
116.592842,39.979162
116.592584,39.979546
116.592553,39.979614
116.592487,39.979761
116.592436,39.979947
116.592386,39.980185
116.592361,39.980395
116.592362,39.980524
116.592387,39.980685
116.592444,39.980871
116.592528,39.98107
116.592793,39.981592
116.593108,39.982158
116.596481,39.999923
116.596613,39.99909
116.596646,39.998148
116.596698,39.996776
116.59671,39.996526
116.596733,39.996045
116.596753,39.995629
116.596766,39.995364
116.596782,39.995019
116.596793,39.99463
116.596879,39.993621
116.596908,39.993224
116.596948,39.992771
116.59693,39.992513
116.596982,39.991588
116.597004,39.991278
116.597006,39.991254
116.597059,39.99052
116.597048,39.990353
116.597012,39.990163
116.59699,39.990046
116.596892,39.989874
116.596733,39.989546
116.596034,39.988142
116.59597,39.988015
116.595559,39.987171
116.595281,39.986548
116.593108,39.982158
116.593127,39.98225
116.593804,39.983576
116.594261,39.984492
116.594555,39.985101
116.594624,39.985242
116.595232,39.986497
116.595281,39.986548
