id,x,y
1,116.350394,39.87779
2,116.3504,39.877668
3,116.350407,39.87759
4,116.357163,39.912099
5,116.35759,39.912099
6,116.357554,39.912591
7,116.357541,39.912855
8,116.357538,39.912905
9,116.357535,39.91302
10,116.357513,39.913537
11,116.357509,39.913736
12,116.357496,39.913872
13,116.356813,39.921258
14,116.3566,39.921243
15,116.357312,39.924638
16,116.357173,39.924638
17,116.357083,39.924622
18,116.357607,39.901438
19,116.35748,39.901429
20,116.357094,39.901414
21,116.357101,39.901354
22,116.357125,39.901085
23,116.357066,39.908971
24,116.357182,39.908908
25,116.357265,39.908878
26,116.357329,39.908847
27,116.37197,39.949425
28,116.372301,39.94945
29,116.375969,39.949757
30,116.356259,39.928331
31,116.356591,39.928353
32,116.356941,39.940663
33,116.356921,39.940667
34,116.356876,39.940668
35,116.356757,39.940669
36,116.356432,39.940662
37,116.359077,39.89862
38,116.359032,39.898974
39,116.35934,39.899029
40,116.359863,39.89905
41,116.360079,39.899065
42,116.35003,39.896784
43,116.350034,39.896728
44,116.350035,39.896555
45,116.36008,39.923793
46,116.35974,39.923788
47,116.359071,39.923779
48,116.358816,39.923773
49,116.358249,39.923761
50,116.357288,39.92373
51,116.358214,39.92369
52,116.357412,39.923642
53,116.357194,39.923631
54,116.356944,39.923619
55,116.356591,39.928353
56,116.356587,39.92844
57,116.356542,39.92963
58,116.35652,39.930027
59,116.356463,39.930999
60,116.35646,39.931057
61,116.393891,39.949318
62,116.393115,39.949328
63,116.392134,39.949336
64,116.391771,39.949341
65,116.391568,39.94931
66,116.391165,39.949277
67,116.39068,39.949267
68,116.390205,39.949279
69,116.38983,39.949269
70,116.388658,39.949244
71,116.387392,39.949234
72,116.386059,39.949238
73,116.384329,39.949221
74,116.383808,39.949219
75,116.382754,39.949234
76,116.382395,39.949238
77,116.382089,39.949274
78,116.381716,39.949348
79,116.381539,39.94942
80,116.381231,39.949567
81,116.381214,39.949575
82,116.380724,39.949871
83,116.380646,39.949926
84,116.380479,39.950015
85,116.380174,39.950183
86,116.379962,39.950241
87,116.379694,39.950251
88,116.379546,39.950255
89,116.37935,39.950253
90,116.379098,39.950233
91,116.378633,39.950121
92,116.377896,39.949657
93,116.37772,39.949895
94,116.377502,39.949817
95,116.377257,39.949752
96,116.376947,39.949731
97,116.376795,39.949698
98,116.376756,39.949735
99,116.376765,39.949781
100,116.399092,39.872374
101,116.398162,39.87235
102,116.397476,39.87233
103,116.396765,39.872294
104,116.396578,39.872279
105,116.396104,39.872291
106,116.393295,39.872186
107,116.393146,39.872174
108,116.392882,39.872166
109,116.392683,39.872159
110,116.391186,39.872107
111,116.390805,39.872094
112,116.390622,39.872075
113,116.390327,39.872046
114,116.390183,39.872007
115,116.389138,39.871943
116,116.38834,39.871877
117,116.388237,39.871878
118,116.387523,39.871856
119,116.38745,39.871826
120,116.387417,39.871823
121,116.387158,39.8718
122,116.386776,39.871781
123,116.385779,39.87172
124,116.384744,39.871656
125,116.382762,39.871512
126,116.382393,39.871444
127,116.38122,39.871356
128,116.378994,39.871189
129,116.376489,39.87099
130,116.375121,39.870889
131,116.373217,39.870755
132,116.370173,39.870531
133,116.369872,39.87051
134,116.368443,39.870391
135,116.368208,39.870375
136,116.366155,39.870236
137,116.36494,39.870155
138,116.363359,39.87005
139,116.361785,39.869938
140,116.360519,39.869849
141,116.359916,39.869806
142,116.358431,39.869663
143,116.357005,39.869544
144,116.356882,39.869534
145,116.356499,39.869513
146,116.356466,39.869509
147,116.356458,39.86951
148,116.356447,39.869511
149,116.356434,39.869516
150,116.356426,39.86952
151,116.35642,39.869525
152,116.35641,39.869545
153,116.356404,39.869566
154,116.355591,39.869514
155,116.355577,39.869505
156,116.355572,39.869494
157,116.355564,39.869459
158,116.355556,39.86944
159,116.355547,39.869432
160,116.355531,39.869428
161,116.355488,39.869424
162,116.354911,39.869395
163,116.354433,39.869379
164,116.354105,39.869351
165,116.352768,39.869238
166,116.352156,39.869246
167,116.351844,39.869191
168,116.351544,39.869202
169,116.351403,39.869227
170,116.351354,39.869252
171,116.351276,39.869296
172,116.351163,39.869359
173,116.351093,39.869447
174,116.351034,39.869555
175,116.350978,39.869791
176,116.350628,39.872903
177,116.350613,39.873043
178,116.350591,39.873239
179,116.350578,39.873351
180,116.350557,39.873536
181,116.350355,39.875356
182,116.350306,39.876571
183,116.35029,39.876931
184,116.350293,39.877063
185,116.350309,39.877201
186,116.35033,39.877327
187,116.350407,39.87759
188,116.349343,39.894153
189,116.349441,39.893781
190,116.34944,39.893735
191,116.349452,39.893563
192,116.349468,39.893371
193,116.349484,39.892039
194,116.349461,39.891716
195,116.349313,39.890092
196,116.349315,39.88989
197,116.349325,39.889034
198,116.349347,39.887394
199,116.349328,39.883558
200,116.349325,39.883315
201,116.34932,39.883013
202,116.34936,39.882515
203,116.349429,39.881602
204,116.349485,39.880956
205,116.349591,39.879769
206,116.349701,39.878399
207,116.349699,39.878318
208,116.349784,39.876858
209,116.349841,39.875661
210,116.349931,39.874618
211,116.349999,39.874072
212,116.350024,39.873876
213,116.350075,39.873472
214,116.350081,39.873424
215,116.350107,39.873204
216,116.35012,39.873097
217,116.350172,39.872672
218,116.350269,39.871874
219,116.350279,39.871791
220,116.350305,39.87158
221,116.350339,39.871301
222,116.350367,39.871078
223,116.350394,39.870856
224,116.350534,39.869726
225,116.350587,39.869336
226,116.350576,39.869317
227,116.350512,39.869297
228,116.350534,39.869133
229,116.350535,39.869119
230,116.350545,39.869045
231,116.350551,39.86901
232,116.350558,39.868987
233,116.350566,39.868972
234,116.350575,39.868958
235,116.350589,39.868945
236,116.350608,39.868934
237,116.350637,39.868923
238,116.350816,39.868865
239,116.350394,39.87779
240,116.350314,39.877936
241,116.350271,39.878074
242,116.350239,39.878197
243,116.350217,39.878298
244,116.350207,39.878366
245,116.350188,39.878529
246,116.350159,39.878779
247,116.350014,39.880624
248,116.349865,39.882808
249,116.349852,39.883156
250,116.349848,39.883338
251,116.349845,39.883501
252,116.349795,39.885378
253,116.349777,39.886907
254,116.349779,39.887078
255,116.349795,39.888261
256,116.349812,39.889282
257,116.349829,39.889921
258,116.349846,39.891383
259,116.349916,39.892047
260,116.349918,39.892444
261,116.349865,39.893051
262,116.349842,39.893388
263,116.349804,39.894188
264,116.349794,39.8944
265,116.349782,39.894656
266,116.349682,39.896202
267,116.349637,39.896898
268,116.350023,39.896909
269,116.357038,39.918525
270,116.356944,39.918938
271,116.356933,39.919049
272,116.356939,39.91909
273,116.356959,39.919129
274,116.357011,39.91919
275,116.357089,39.91925
276,116.357004,39.919296
277,116.35703,39.919428
278,116.35703,39.919522
279,116.357011,39.919611
280,116.356978,39.91968
281,116.356954,39.91973
282,116.356935,39.919776
283,116.356913,39.919806
284,116.356883,39.919841
285,116.35687,39.919882
286,116.356868,39.919977
287,116.356848,39.920676
288,116.356852,39.920718
289,116.356874,39.920757
290,116.356944,39.920789
291,116.356989,39.920835
292,116.357009,39.920874
293,116.357001,39.920916
294,116.356971,39.920965
295,116.356883,39.921023
296,116.35684,39.921076
297,116.356827,39.921163
298,116.356813,39.921258
299,116.356272,39.928061
300,116.356616,39.928065
301,116.356638,39.927757
302,116.356664,39.927365
303,116.356696,39.926935
304,116.356711,39.92671
305,116.356737,39.926325
306,116.356764,39.92593
307,116.356794,39.925436
308,116.356767,39.925312
309,116.356872,39.925112
310,116.357022,39.924882
311,116.357064,39.924725
312,116.357074,39.924668
313,116.357083,39.924622
314,116.366826,39.947745
315,116.366767,39.947705
316,116.366657,39.947661
317,116.366591,39.947656
318,116.366532,39.947679
319,116.366435,39.947763
320,116.366385,39.947807
321,116.366353,39.947853
322,116.366359,39.94789
323,116.366391,39.947921
324,116.366462,39.947939
325,116.367149,39.948142
326,116.367338,39.948196
327,116.367566,39.948256
328,116.368105,39.948396
329,116.368566,39.948515
330,116.369138,39.948655
331,116.369607,39.948758
332,116.370162,39.948867
333,116.370801,39.94899
334,116.370849,39.948823
335,116.366826,39.947745
336,116.36745,39.947927
337,116.368357,39.948218
338,116.368815,39.948365
339,116.369431,39.948483
340,116.369746,39.948543
341,116.370208,39.948678
342,116.370849,39.948823
343,116.393878,39.949596
344,116.393645,39.949594
345,116.392977,39.949602
346,116.392137,39.949596
347,116.390076,39.949581
348,116.389488,39.949576
349,116.387225,39.949545
350,116.386528,39.949571
351,116.38537,39.949563
352,116.385036,39.949561
353,116.383572,39.949552
354,116.383424,39.949531
355,116.383149,39.949524
356,116.38295,39.949533
357,116.382731,39.949516
358,116.382554,39.9495
359,116.382453,39.949482
360,116.382292,39.949483
361,116.382136,39.949491
362,116.381959,39.949517
363,116.381837,39.949551
364,116.381589,39.949623
365,116.381404,39.949727
366,116.381231,39.949835
367,116.380785,39.9501
368,116.380673,39.950184
369,116.380572,39.950317
370,116.356974,39.94071
371,116.356976,39.940697
372,116.356976,39.940686
373,116.356973,39.940677
374,116.356966,39.94067
375,116.356958,39.940666
376,116.356941,39.940663
377,116.370849,39.948823
378,116.37105,39.948869
379,116.371179,39.94889
380,116.371229,39.948898
381,116.371292,39.948895
382,116.371338,39.948882
383,116.371681,39.948753
384,116.350798,39.897591
385,116.35082,39.897402
386,116.35068,39.897317
387,116.350622,39.89731
388,116.350494,39.89735
389,116.350454,39.897348
390,116.350445,39.897348
391,116.350408,39.897338
392,116.350384,39.897321
393,116.350348,39.897295
394,116.350338,39.897271
395,116.35037,39.897047
396,116.350356,39.89699
397,116.350346,39.896957
398,116.350322,39.896902
399,116.350271,39.896818
400,116.350035,39.896555
401,116.357312,39.924638
402,116.3573,39.924182
403,116.357163,39.912099
404,116.357182,39.911854
405,116.357212,39.911626
406,116.357212,39.911367
407,116.357188,39.911235
408,116.35715,39.911163
409,116.357085,39.911059
410,116.357085,39.910921
411,116.357085,39.910854
412,116.357127,39.910714
413,116.357165,39.910617
414,116.357173,39.910557
415,116.35717,39.910508
416,116.357142,39.910424
417,116.357134,39.91038
418,116.357134,39.910317
419,116.357182,39.910271
420,116.357227,39.910222
421,116.357251,39.910175
422,116.357257,39.910117
423,116.35724,39.910051
424,116.357202,39.910004
425,116.357156,39.909968
426,116.357134,39.909886
427,116.357136,39.909858
428,116.35715,39.909759
429,116.357238,39.909437
430,116.357252,39.909387
431,116.357329,39.908847
432,116.357637,39.900864
433,116.35772,39.900732
434,116.357803,39.900645
435,116.357966,39.900547
436,116.358109,39.900485
437,116.358256,39.900403
438,116.35839,39.900292
439,116.35846,39.900193
440,116.358495,39.900112
441,116.358554,39.900038
